"","long","lat"
"1",-110.660892234775,45.0276959167419
"2",-110.582482676044,44.9978199068075
"3",-110.545930319897,44.9962041096937
"4",-110.709229462727,44.9703068910936
"5",-110.48240840245,44.9804595399067
"6",-110.545154083958,44.9964980845539
"7",-110.581311764511,45.0140010676024
"8",-110.631761000454,45.0056770730378
"9",-110.631723222195,45.0056319416313
"10",-110.637585295572,45.0157418356174
"11",-110.591031674493,44.9892269852914
"12",-110.12505530599,44.9149336654481
"13",-110.428366753922,44.9597223359785
"14",-110.59069385118,44.9885686331142
"15",-110.449523559985,44.9588630622293
"16",-110.638366018282,45.026798635401
"17",-110.656392404241,44.9565401407283
"18",-110.404740550954,43.3087869102527
"19",-110.529964908102,44.9875156581119
"20",-110.407724170979,44.9475094563849
"21",-110.60935806183,45.0159818424023
"22",-110.67330283213,45.0261927705915
"23",-110.58959674372,45.012536824402
"24",-110.589572134586,45.01242871308
"25",-110.681056945068,44.9533079521154
"26",-110.45159124027,44.9574236893532
"27",-110.462066623168,44.9598230320691
"28",-110.616980903397,45.0147834033936
"29",-110.298010467042,44.9204757987167
"30",-110.432338876351,44.9619296321301
"31",-110.431839513678,44.9624222580919
"32",-110.155727473923,44.8629883907557
"33",-110.44906279373,44.9632898181637
"34",-110.575532242874,44.9923571170133
"35",-110.437959685254,44.9485534600323
"36",-110.438967319779,44.9505208517957
"37",-110.485109641438,44.990418904538
"38",-110.5133107175,44.9948454943126
"39",-110.639283007417,45.0263154335948
"40",-110.503279289884,44.9944062188225
"41",-110.482557100038,44.9893091308154
"42",-110.479265309788,44.9829928048706
"43",-110.481887469211,44.9791518938087
"44",-110.488969661827,44.958605288689
"45",-110.487405792498,44.9832996915947
"46",-110.46085415938,44.9606725034666
"47",-110.406263075434,44.9404532924972
"48",-110.444319374799,44.946334079542
"49",-110.451458870701,44.9593404778627
"50",-110.429889644628,44.9634207630615
"51",-110.496458272361,44.9765164800127
"52",-110.526312951103,44.9827295356747
"53",-110.658371405895,45.0204058757704
"54",-110.428417467444,44.9597225898106
"55",-110.38698073856,44.8860149686224
"56",-110.193522967338,44.9019976297877
"57",-110.184082693985,44.8771928094196
"58",-110.505895811593,44.9881432168552
"59",-110.576225770475,44.9912074442914
"60",-110.448402180902,44.9634216590818
"61",-110.586083910183,45.0069069540399
"62",-110.445593459655,44.9575117560411
"63",-110.53442529977,44.9787030128113
"64",-110.506410697564,44.9872722546076
"65",-110.444893549606,44.9538355417872
"66",-110.603897063814,45.0183575376619
"67",-110.560153220137,44.9861595962086
"68",-110.537871777584,44.9159279949982
"69",-110.495747081419,44.979519997036
"70",-110.592926328161,45.0065084581879
"71",-110.766057694047,45.0163113118751
"72",-110.571689414361,44.8779809962684
"73",-110.811111726929,45.0435623871759
"74",-110.622550177217,45.0209052329927
"75",-110.622832006813,45.020510080752
"76",-110.62724745591,45.0187872117088
"77",-110.57741113844,44.8798567478519
"78",-110.667756204448,45.0348815859167
"79",-110.549061621967,44.9997452731348
"80",-110.531590753795,44.9965962927224
"81",-110.566892917324,44.9940440502009
"82",-110.66688827045,45.0356802241938
"83",-110.667843718213,45.0351158891377
"84",-110.667733678679,45.0343864174114
"85",-110.667166079939,45.0315581759519
"86",-110.667310258221,45.0307754326855
"87",-110.667806019732,45.0306598513781
"88",-110.668073591776,45.0304895936654
"89",-110.66803582075,45.0304354726091
"90",-110.666572985623,45.0309443182645
"91",-110.667931402663,45.0309302723624
"92",-110.656440364377,45.0291949273415
"93",-110.650053857907,45.0294005835704
"94",-110.660584796558,45.0303145508595
"95",-110.678672174533,45.0284764786042
"96",-110.6522291912,45.0286420685603
"97",-110.63397602493,45.0224907494771
"98",-110.636833912015,45.0281980675025
"99",-110.667125557979,45.0341686016033
"100",-110.667100689418,45.0340785103863
"101",-110.66681820866,45.0346268008652
"102",-110.663596820072,45.0405675918779
"103",-110.645900298637,44.9968548920525
"104",-110.660498079049,44.9590459718237
"105",-110.662002086184,44.95770013407
"106",-110.487304668927,44.9889524611954
"107",-110.481029808718,44.9842431062559
"108",-110.605469034962,45.0186240340131
"109",-110.633865430594,45.0259021107745
"110",-110.429889644628,44.9634207630615
"111",-110.43442191915,44.9576910282268
"112",-110.429135806007,44.9473754399684
"113",-110.436599132706,44.9489788523785
"114",-110.429486992943,44.9490335642978
"115",-110.460658887456,44.9679811911565
"116",-109.994060354914,44.8405866757221
"117",-110.444519739111,44.959730030378
"118",-110.163062145098,45.0500947899879
"119",-110.433766259971,44.9379823834012
"120",-110.431826155789,44.9470737862258
"121",-110.432351339506,44.9375162560126
"122",-110.432436772941,44.9378497555219
"123",-110.43639821752,44.9410110798473
"124",-109.633861837248,44.7199061651201
"125",-109.563154771291,44.7876537648939
"126",-109.96215556482,44.7245771435272
"127",-110.42452834674,44.9606572693736
"128",-110.427968648526,44.9589551734352
"129",-109.507680031667,44.7348460371371
"130",-110.467128476197,44.9567680816527
"131",-110.459711306021,44.9608561441461
"132",-110.448974292257,44.9539903341795
"133",-110.477803284797,44.9470232132914
"134",-110.445773733307,44.9453689295947
"135",-110.443094825671,44.9523684605458
"136",-110.435278478322,44.9375757781076
"137",-110.444638618082,44.9539783343324
"138",-110.415516685592,44.9528427826647
"139",-110.462066623168,44.9598230320691
"140",-110.437959685254,44.9485534600323
"141",-110.438967319779,44.9505208517957
"142",-110.5133107175,44.9948454943126
"143",-110.503279289884,44.9944062188225
"144",-110.482557100038,44.9893091308154
"145",-110.479265309788,44.9829928048706
"146",-110.487405792498,44.9832996915947
"147",-110.481887469211,44.9791518938087
