"","X1","kill_num","species","dod","utm_e","utm_n","id","year","month","day","jday","season","coug_sex","long","lat","elevation"
"40",40,"8151","mule deer",2017-02-01,538951,4981752,NA,2017,2,1,32,"winter",NA,-110.505895811593,44.9881432168552,1739.24
"41",41,"4140","mule deer",2017-02-16,533405,4982061,NA,2017,2,16,47,"winter",NA,-110.576225770475,44.9912074442914,1767.44
"42",42,"8169","mule deer",2017-02-20,532619,4983801,NA,2017,2,20,51,"winter",NA,-110.586083910183,45.0069069540399,1796.09
"43",43,"8176","mule deer",2017-02-26,543728,4978380,NA,2017,2,26,57,"winter",NA,-110.445593459655,44.9575117560411,1823.42
"44",44,"8140","elk",2017-02-27,536708,4980690,NA,2017,2,27,58,"winter",NA,-110.53442529977,44.9787030128113,1934.43
"45",45,"8149","mule deer",2017-02-27,538911,4981655,NA,2017,2,27,58,"winter",NA,-110.506410697564,44.9872722546076,1761.5
"46",46,"5638","mule deer",2017-02-27,543786,4977972,NA,2017,2,27,58,"winter",NA,-110.444893549606,44.9538355417872,1804.42
"47",47,"4191","elk",2017-02-28,531209,4985066,NA,2017,2,28,59,"winter",NA,-110.603897063814,45.0183575376619,1818.38
"48",48,"9147","mule deer",2017-03-01,534675,4981507,NA,2017,3,1,60,"winter",NA,-110.560153220137,44.9861595962086,1847.01
"49",49,"5678","mule deer",2017-03-14,532080,4983754,NA,2017,3,14,73,"winter",NA,-110.592926328161,45.0065084581879,1860.12
"50",50,"19-055","mule deer",2019-03-01,518433,4984789,"F210",2019,3,1,60,"winter","F",-110.766057694047,45.0163113118751,1904.19
"51",51,"19-071","elk",2019-02-28,533829,4969485,"1154F,1105M,1015M,1155M,1156M",2019,2,28,59,"winter",NA,-110.571689414361,44.8779809962684,2530.67
"52",52,"19-074","mule deer",2019-03-05,514876,4987807,"F210",2019,3,5,64,"winter","F",-110.811111726929,45.0435623871759,2042.03
"53",53,"19-082","mule deer",2019-02-24,529738,4985342,"M211",2019,2,24,55,"winter","M",-110.622550177217,45.0209052329927,2051.56
"54",54,"19-083","mule deer",2019-03-04,529716,4985298,"M211",2019,3,4,63,"winter","M",-110.622832006813,45.020510080752,2046.45
"55",55,"19-084","elk",2019-02-25,529369,4985105,"M211",2019,2,25,56,"winter","M",-110.62724745591,45.0187872117088,1802.27
"56",56,"19-099","mule deer",2019-03-16,526170,4986879,"M219",2019,3,16,75,"winter","M",-110.667756204448,45.0348815859167,1690
"57",57,"19-102","mule deer",2019-03-11,535541,4983021,"M211",2019,3,11,70,"winter","M",-110.549061621967,44.9997452731348,1920.42
"58",58,"19-103","elk",2019-03-12,536920,4982679,"M211",2019,3,12,71,"winter","M",-110.531590753795,44.9965962927224,1732.89
"59",59,"19-104","elk",2019-03-16,534139,4982380,"F202",2019,3,16,75,"winter","F",-110.566892917324,44.9940440502009,1708.31
"60",60,"19-106","mule deer",2019-02-22,526238,4986968,"F209",2019,2,22,53,"winter","F",-110.66688827045,45.0356802241938,1690.23
"61",61,"19-107","mule deer",2019-02-23,526163,4986905,"F209",2019,2,23,54,"winter","F",-110.667843718213,45.0351158891377,1692.3
"62",62,"19-108","mule deer",2019-03-05,526172,4986824,"F209",2019,3,5,64,"winter","F",-110.667733678679,45.0343864174114,1693.28
"63",63,"19-109","elk",2019-03-05,526218,4986510,"F202,M219",2019,3,5,64,"winter",NA,-110.667166079939,45.0315581759519,1636.4
"64",64,"19-110","elk",2019-02-15,526207,4986423,"F202",2019,2,15,46,"winter","F",-110.667310258221,45.0307754326855,1621.65
"65",65,"19-111","mule deer",2019-02-25,526168,4986410,"M219,F209",2019,2,25,56,"winter",NA,-110.667806019732,45.0306598513781,1620.63
"66",66,"19-112","elk",2019-02-22,526147,4986391,"F202",2019,2,22,53,"winter","F",-110.668073591776,45.0304895936654,1611.47
"67",67,"19-113","mule deer",2019-03-03,526150,4986385,"M219",2019,3,3,62,"winter","M",-110.66803582075,45.0304354726091,1607.02
"68",68,"19-115","elk",2019-03-02,526265,4986442,"F202,M219",2019,3,2,61,"winter",NA,-110.666572985623,45.0309443182645,1620.98
"69",69,"19-120","elk",2019-03-11,526158,4986440,"M219",2019,3,11,70,"winter","M",-110.667931402663,45.0309302723624,1627.44
"70",70,"19-122","mule deer",2019-03-18,527567,4986276,"F209,M219",2019,3,18,77,"winter",NA,-110.650053857907,45.0294005835704,1638.88
"71",71,"19-125","elk",2019-03-12,527396,4986191,"F209",2019,3,12,71,"winter","F",-110.6522291912,45.0286420685603,1617.06
"72",72,"19-133","elk",2019-03-20,528837,4985514,"M219",2019,3,20,79,"winter","M",-110.63397602493,45.0224907494771,1724.5
"73",73,"19-135","mule deer",2019-03-17,528609,4986147,"F202",2019,3,17,76,"winter","F",-110.636833912015,45.0281980675025,1777.43
"74",74,"19-137","mule deer",2019-03-01,526220,4986800,"F202",2019,3,1,60,"winter","F",-110.667125557979,45.0341686016033,1657.34
"75",75,"19-138","mule deer",2019-03-05,526222,4986790,"M219,F209",2019,3,5,64,"winter",NA,-110.667100689418,45.0340785103863,1653.5
"76",76,"19-139","mule deer",2019-02-28,526244,4986851,"F209",2019,2,28,59,"winter","F",-110.66681820866,45.0346268008652,1657.06
"77",77,"19-140","mule deer",2019-03-09,526495,4987512,"F209",2019,3,9,68,"winter","F",-110.663596820072,45.0405675918779,1739.68
"78",78,"19-144","elk",2019-03-12,526777,4978457,"F210",2019,3,12,71,"winter","F",-110.660498079049,44.9590459718237,2151.16
"79",79,"19-148","mule deer",2019-03-16,540416,4981851,"M211",2019,3,16,75,"winter","M",-110.487304668927,44.9889524611954,1737.21
"80",80,"19-149","elk",2019-03-18,540914,4981331,"M211",2019,3,18,77,"winter","M",-110.481029808718,44.9842431062559,1794.32
"81",81,"16-239","elk",2016-03-16,544962,4979045,NA,2016,3,16,76,"winter",NA,-110.429889644628,44.9634207630615,1867.91
"82",82,"16-328","elk",2016-01-22,542427,4978628,NA,2016,1,22,22,"winter",NA,-110.462066623168,44.9598230320691,1852.29
"83",83,"16-329","elk",2016-02-03,544337,4977389,NA,2016,2,3,34,"winter",NA,-110.437959685254,44.9485534600323,1911.92
"84",84,"16-330","elk",2016-02-07,544256,4977607,NA,2016,2,7,38,"winter",NA,-110.438967319779,44.9505208517957,1993.1
"85",85,"16-331","elk",2016-02-12,538362,4982493,NA,2016,2,12,43,"winter",NA,-110.5133107175,44.9948454943126,1736.33
"86",86,"16-332","elk",2016-02-14,539153,4982449,NA,2016,2,14,45,"winter",NA,-110.503279289884,44.9944062188225,1924.33
"87",87,"16-333","mule deer",2016-02-17,540790,4981893,NA,2016,2,17,48,"winter",NA,-110.482557100038,44.9893091308154,1896.93
"88",88,"16-334","mule deer",2016-02-18,541054,4981193,NA,2016,2,18,49,"winter",NA,-110.479265309788,44.9829928048706,1798
"89",89,"16-335","elk",2016-02-24,540412,4981223,NA,2016,2,24,55,"winter",NA,-110.487405792498,44.9832996915947,1853.86
"90",90,"16-337","elk",2016-02-21,540306,4978479,NA,2016,2,21,52,"winter",NA,-110.488969661827,44.958605288689,2066.49
"91",91,"16-338","elk",2016-03-01,542522,4978723,NA,2016,3,1,61,"winter",NA,-110.46085415938,44.9606725034666,1825.94
"92",92,"16-339","elk",2016-03-06,546844,4976507,NA,2016,3,6,66,"winter",NA,-110.406263075434,44.9404532924972,1923.61
"93",93,"16-340","elk",2016-03-10,543837,4977139,NA,2016,3,10,70,"winter",NA,-110.444319374799,44.946334079542,1935.14
"94",94,"16-341","elk",2016-03-15,543264,4978580,NA,2016,3,15,75,"winter",NA,-110.451458870701,44.9593404778627,1789.59
"95",95,"17-316","elk",2017-02-18,535118,4981921,NA,2017,2,18,49,"winter",NA,-110.554505139002,44.9898645089501,1734.82
"96",96,"17-317","elk",2017-02-26,534177,4982595,NA,2017,2,26,57,"winter",NA,-110.566396246434,44.9959775814794,1839.26
"97",97,"17-318","mule deer",2017-03-01,542777,4978668,NA,2017,3,1,60,"winter",NA,-110.457625767074,44.9601621073934,1790.89
"98",98,"17-319","elk",2017-03-02,534384,4982305,NA,2017,3,2,61,"winter",NA,-110.563789917268,44.9933570950324,1733.65
"99",99,"17-320","elk",2017-03-04,543560,4978884,NA,2017,3,4,63,"winter",NA,-110.44767982743,44.9620588681267,1812.97
"100",100,"17-321","elk",2017-03-08,534493,4982408,NA,2017,3,8,67,"winter",NA,-110.562400081002,44.9942789774681,1792.27
"101",101,"17-323","elk",2017-03-10,545577,4978630,NA,2017,3,10,69,"winter",NA,-110.422129447685,44.9596459352498,1892.73
"102",102,"17-324","mule deer",2017-03-13,527518,4977401,NA,2017,3,13,72,"winter",NA,-110.651160807981,44.9495117219011,1874.94
"103",103,"17-325","mule deer",2017-03-14,546707,4976663,NA,2017,3,14,73,"winter",NA,-110.407984994745,44.9418665466599,1884.55
"104",104,"17-326","mule deer",2017-03-16,534974,4982376,NA,2017,3,16,75,"winter",NA,-110.556300216809,44.993967379605,1719.14
"105",105,"17-327","elk",2017-03-18,537696,4983258,NA,2017,3,18,77,"winter",NA,-110.521702512,45.001767424161,2046.9
"106",106,"17-328","elk",2017-03-17,544708,4975868,NA,2017,3,17,76,"winter",NA,-110.433391600591,44.9348388180703,1921.24
"107",107,"18-017","elk",2018-02-12,526183,4987413,NA,2018,2,12,43,"winter",NA,-110.667563332374,45.0396880221885,1834.17
"108",108,"18-018","elk",2018-02-16,526427,4987167,NA,2018,2,16,47,"winter",NA,-110.664478341994,45.0374645415412,1691.38
"109",109,"18-019","elk",2018-02-14,537631,4982971,NA,2018,2,14,45,"winter",NA,-110.522548678941,44.9991874121384,1920.96
"110",110,"18-028","elk",2018-02-19,533433,4982078,NA,2018,2,19,50,"winter",NA,-110.575869444893,44.9913591545192,1786.77
"111",111,"18-049","elk",2018-02-25,541982,4978492,NA,2018,2,25,56,"winter",NA,-110.467719867493,44.9586252500836,1835.96
